title,abstract,authors,keywords,year,department
Machine Learning for Early Detection of Diabetes Using Patient Health Records,This study investigates the application of machine learning algorithms including Random Forest and XGBoost for early detection of Type 2 diabetes using electronic health records. The model achieved 94.2% accuracy on a dataset of 10000 patients.,Maria Santos; Juan Cruz,machine learning; diabetes; health informatics; classification; EHR,2023,Computer Science
Natural Language Processing for Sentiment Analysis of Social Media Posts During COVID-19,An analysis of public sentiment on Twitter and Facebook during the COVID-19 pandemic using BERT-based models. Results reveal significant shifts in public trust and mental health indicators.,Ana Reyes; Carlos Lopez,NLP; sentiment analysis; COVID-19; social media; BERT; public health,2022,Information Technology
Blockchain-Based Land Registry System for the Philippines,Proposes a decentralized land registry using Ethereum smart contracts to reduce fraud and streamline property transfer. Piloted in three municipalities.,Rico Bautista,blockchain; land registry; smart contracts; Ethereum; e-governance,2023,Computer Science
Deep Learning for Automated Rice Disease Detection Using Drone Imagery,Convolutional neural networks applied to aerial imagery for real-time detection of rice blast and brown spot diseases. Achieved 91% accuracy with a lightweight MobileNetV3 model.,Liza Mercado; Paolo Navarro,deep learning; CNN; rice disease; drone; agriculture; computer vision,2021,Agricultural Engineering
A Comparative Study of Renewable Energy Adoption Barriers in Rural Philippine Communities,Surveys and interviews with 320 rural households identify financial constraints regulatory gaps and technical knowledge as the primary barriers to solar energy adoption.,Eduardo Torres,renewable energy; solar; rural electrification; energy policy; Philippines,2022,Environmental Engineering
Gamification in Higher Education: Effects on Student Engagement and Academic Performance,A quasi-experimental study across four universities measuring the impact of gamified learning modules on student motivation GPA and retention rates in STEM subjects.,Grace Dela Cruz,gamification; education technology; student engagement; STEM; higher education,2023,Educational Technology
Federated Learning for Privacy-Preserving Medical Image Analysis,Proposes a federated learning framework enabling hospitals to collaboratively train diagnostic models without sharing raw patient data. Evaluated on chest X-ray datasets.,Michael Tan,federated learning; privacy; medical imaging; X-ray; distributed AI,2024,Computer Science
Urban Heat Island Mitigation Through Green Roof Implementation in Metro Manila,Models temperature reduction and energy savings from large-scale green roof adoption in three Metro Manila cities using GIS and CFD simulations.,Rosario Villanueva,urban heat island; green roof; Metro Manila; climate adaptation; GIS,2022,Architecture and Urban Planning
Cybersecurity Risk Assessment Framework for Philippine Small and Medium Enterprises,Develops and validates a lightweight cybersecurity risk assessment framework tailored to the resource constraints of SMEs. Tested across 50 businesses in NCR.,Bernard Ong,cybersecurity; risk assessment; SME; information security; Philippines,2023,Information Systems
Predicting Student Dropout in Online Learning Environments Using Clickstream Data,Logistic regression and neural network models trained on LMS clickstream data to predict at-risk students 4 weeks before dropout. Achieves 87% precision.,Maribel Santos,student dropout; e-learning; learning analytics; clickstream; prediction,2021,Educational Technology
IoT-Based Smart Water Quality Monitoring System for Aquaculture Farms,Deploys a low-cost IoT sensor network for real-time monitoring of pH temperature dissolved oxygen and ammonia in tilapia fish farms.,Fernando Cruz,IoT; water quality; aquaculture; sensors; smart farming,2022,Electronics Engineering
The Impact of Microfinance on Women Empowerment in Rural Mindanao,Quantitative study measuring income autonomy financial literacy and decision-making authority among 400 female microfinance beneficiaries in five Mindanao provinces.,Elena Gomez,microfinance; women empowerment; rural development; Mindanao; gender,2023,Development Studies
Autonomous Vehicle Navigation in Unstructured Environments Using LiDAR and Camera Fusion,Develops a multi-modal perception system combining LiDAR point clouds and camera feeds for navigation in construction zones and informal roads.,Kevin Lim,autonomous vehicles; LiDAR; sensor fusion; computer vision; robotics,2024,Electrical Engineering
Mental Health Prediction Using Social Media Behavioral Patterns,Analyzes posting frequency timing content themes and engagement patterns on Facebook to build a depression risk prediction model with 83% AUC.,Patricia Ramos,mental health; social media; depression; behavioral analysis; machine learning,2022,Psychology/Computer Science
Supply Chain Disruption Analysis During COVID-19 and Recovery Strategies for Philippine Manufacturing,Case studies of 15 Philippine manufacturers document supply chain failures and evaluates recovery strategies including reshoring and supplier diversification.,Jerome Aquino,supply chain; COVID-19; manufacturing; resilience; Philippines,2021,Business Administration
Quantum Computing Applications in Cryptography: Current State and Future Implications,A systematic review of quantum algorithms that threaten current encryption standards and evaluates post-quantum cryptographic alternatives.,Sophia Mendoza,quantum computing; cryptography; post-quantum; security; systematic review,2023,Computer Science
Automated Filipino Sign Language Recognition Using MediaPipe and LSTM Networks,A real-time recognition system for 100 Filipino Sign Language gestures using hand landmark detection and sequence modeling achieving 96% accuracy.,Jose Ramirez,sign language; LSTM; MediaPipe; accessibility; Filipino; computer vision,2023,Computer Science
Carbon Footprint Assessment of Construction Materials in Philippine Green Buildings,Life cycle analysis comparing the embodied carbon of conventional and sustainable construction materials used in LEED-certified buildings in the Philippines.,Anna Fernandez,carbon footprint; life cycle assessment; green building; construction; sustainability,2022,Civil Engineering
