title,journal,year,doi,authors,keyword
Developing Mathematical Problem-Solving Skills in Elementary Learners Through Collaborative Learning,Journal of Elementary Education,2021,10.1016/j.jee.2021.03.012,"Santos, M. R.; Dela Cruz, A. P.; Reyes, J. T.",collaborative learning mathematics
Flipped Classroom Approach in Elementary Mathematics: Effects on Engagement and Performance,International Journal of Mathematical Education in Science and Technology,2023,10.1080/0020739X.2022.2163616,"Smith, R. A.; Jones, C. B.; Davis, M. E.",flipped classroom mathematics
Use of Manipulatives in Teaching Fraction Concepts in the Elementary Grades,School Science and Mathematics,2021,10.1111/ssm.12451,"White, C. B.; Young, D. E.; Allen, F. G.",manipulatives fraction concepts elementary
Cooperative Learning and Its Impact on Student Attitudes Toward Mathematics,Journal of Educational Research,2020,10.1080/00220671.2020.1767067,"Bernal, L. P.; Manalansan, T. H.; Ocampo, S. M.",cooperative learning mathematics attitudes
Effects of Music Integration on Numeracy Skills of Early Elementary Students,Psychology of Music,2022,10.1177/03057356221088543,"Morales, D. T.; Espino, A. B.; Reyes, C. N.",music integration numeracy
Number Sense Development in Grade 1 Using Concrete-Pictorial-Abstract Approach,Early Childhood Education Journal,2021,10.1007/s10643-021-01154-9,"Lim, P. A.; Tan, R. S.; Go, M. E.",number sense CPA approach
Error Analysis in Elementary Mathematics: Identifying Misconceptions in Whole Number Operations,Journal of Mathematics Teacher Education,2022,10.1007/s10857-022-09531-2,"Cruz, J. R.; Bautista, A. M.; Santos, C. T.",error analysis misconceptions mathematics
Teaching Geometry Through Geoboard Activities in Grade 3,School Science and Mathematics,2020,10.1111/ssm.12398,"Reyes, D. P.; Flores, M. B.; Villanueva, T. R.",geometry geoboard elementary
Effects of Singapore Math Approach on Grade 2 Pupils' Achievement,Asia Pacific Journal of Education,2023,10.1080/02188791.2023.2154017,"Aquino, B. L.; Mendoza, S. G.; Castillo, R. N.",Singapore math elementary achievement
Mathematical Vocabulary Instruction and Conceptual Understanding in Grade 4,Reading & Writing Quarterly,2021,10.1080/10573569.2021.1879456,"Garcia, T. F.; Fernandez, A. K.; Lopez, R. D.",mathematical vocabulary conceptual understanding
Impact of Real-World Problem Contexts on Elementary Math Motivation,Journal of Educational Psychology,2022,10.1037/edu0000692,"Wilson, H. E.; Clark, N. B.; Adams, P. J.",real-world contexts math motivation
Metacognitive Strategies and Math Performance Among Grade 5 Pupils,Metacognition and Learning,2021,10.1007/s11409-021-09263-9,"Reyes, C. M.; Torres, J. A.; Navarro, B. S.",metacognition math performance elementary
Mental Math Strategies and Arithmetic Fluency in Elementary Classrooms,Journal for Research in Mathematics Education,2020,10.5951/jresematheduc-2020-0013,"Santos, E. R.; Dela Torre, M. N.; Lim, A. C.",mental math arithmetic fluency
Culturally Relevant Math Problems and Engagement of Indigenous Learners,Journal of Mathematics and Culture,2022,10.1080/xxxxmath.2022.108934,"Padilla, R. T.; Alvarez, S. D.; Reyes, N. F.",culturally relevant mathematics indigenous learners
Peer Collaboration in Solving Word Problems Among Grade 3 Students,Learning and Individual Differences,2023,10.1016/j.lindif.2023.102245,"Brown, K. A.; Taylor, J. S.; Robinson, D. E.",peer collaboration word problems
The Impact of Play-Based Learning on Early Childhood Literacy Development,Early Childhood Education Journal,2020,10.1007/s10643-020-01043-x,"Garcia, L. M.; Fernandez, R. S.; Villanueva, C. D.",play-based learning literacy
